                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1534,                 1.2377,                  1.417,                0.53589,                0.65495,                0.67522,                0.44765,                 1.2837,                0.96961,                 1.6782,               0.006733,               0.006733,               0.006733
                     35,                  1.149,                 1.2163,                 1.4123,                0.57489,                0.64159,                0.66397,                0.43647,                 1.2771,                0.95967,                 1.6769,               0.006634,               0.006634,               0.006634
                     36,                 1.1411,                 1.2019,                 1.4073,                0.58615,                0.63853,                0.66741,                0.43952,                 1.2833,                0.95639,                 1.6819,               0.006535,               0.006535,               0.006535
                     37,                 1.1392,                 1.1905,                  1.406,                0.58988,                0.63807,                0.66915,                0.44392,                 1.2819,                  0.959,                 1.6831,               0.006436,               0.006436,               0.006436
                     38,                 1.1335,                 1.1787,                 1.4008,                0.61468,                0.66982,                0.68165,                0.45372,                 1.2809,                0.95033,                 1.6805,               0.006337,               0.006337,               0.006337
                     39,                 1.1232,                 1.1716,                 1.3986,                0.59636,                0.67418,                 0.6867,                0.45193,                  1.283,                0.95017,                 1.6808,               0.006238,               0.006238,               0.006238
                     40,                 1.1274,                 1.1665,                 1.4025,                  0.591,                 0.6648,                0.68252,                0.45198,                 1.2835,                0.94158,                 1.6834,               0.006139,               0.006139,               0.006139
                     41,                 1.1203,                 1.1493,                 1.3914,                0.57899,                0.66483,                 0.6903,                0.45202,                 1.2891,                0.94005,                 1.6881,                0.00604,                0.00604,                0.00604
                     42,                 1.1068,                 1.1262,                 1.3851,                0.59111,                0.66579,                0.68644,                0.45251,                 1.2866,                 0.9358,                  1.688,               0.005941,               0.005941,               0.005941
                     43,                 1.1072,                 1.1174,                 1.3817,                0.63172,                0.63401,                0.69503,                 0.4593,                 1.2861,                0.93149,                  1.687,               0.005842,               0.005842,               0.005842
                     44,                 1.1065,                 1.1108,                 1.3829,                0.62761,                0.64044,                0.69367,                0.45557,                  1.286,                 0.9325,                 1.6902,               0.005743,               0.005743,               0.005743
                     45,                 1.0995,                 1.1002,                 1.3781,                0.57678,                0.66934,                0.69284,                0.45219,                 1.2874,                0.93091,                 1.6929,               0.005644,               0.005644,               0.005644
                     46,                 1.0937,                  1.087,                  1.374,                0.59604,                0.66339,                0.69487,                0.45456,                 1.2885,                 0.9293,                 1.6943,               0.005545,               0.005545,               0.005545
                     47,                 1.0826,                 1.0732,                 1.3675,                0.59606,                0.66274,                0.68922,                0.45121,                   1.29,                0.92962,                 1.6961,               0.005446,               0.005446,               0.005446
                     48,                 1.0819,                 1.0592,                 1.3648,                0.57761,                0.66632,                0.69333,                0.45308,                  1.294,                0.92746,                 1.7001,               0.005347,               0.005347,               0.005347
                     49,                 1.0743,                 1.0534,                 1.3616,                0.58958,                0.66352,                0.69073,                0.45088,                 1.2959,                0.92528,                 1.7034,               0.005248,               0.005248,               0.005248
                     50,                 1.0692,                 1.0436,                  1.358,                 0.5862,                0.66623,                0.68915,                0.44956,                 1.2965,                0.92327,                  1.704,               0.005149,               0.005149,               0.005149
                     51,                 1.0645,                 1.0274,                 1.3514,                0.59687,                0.65746,                0.68863,                0.44869,                 1.2967,                0.92415,                 1.7055,                0.00505,                0.00505,                0.00505
                     52,                 1.0615,                 1.0162,                 1.3534,                0.58662,                0.65591,                  0.686,                0.44774,                 1.2967,                0.92576,                 1.7066,               0.004951,               0.004951,               0.004951
                     53,                 1.0512,                  1.008,                 1.3459,                0.59716,                 0.6697,                0.69504,                0.45145,                 1.2971,                 0.9273,                 1.7083,               0.004852,               0.004852,               0.004852
                     54,                  1.041,                0.98991,                 1.3418,                0.61102,                0.65662,                0.68997,                0.45112,                 1.2975,                0.92723,                 1.7102,               0.004753,               0.004753,               0.004753
                     55,                  1.036,                 0.9711,                 1.3323,                0.58953,                0.66477,                0.68903,                0.45071,                 1.2993,                 0.9247,                 1.7132,               0.004654,               0.004654,               0.004654
                     56,                 1.0344,                0.97623,                  1.333,                 0.5936,                0.66902,                0.68745,                0.45017,                 1.2997,                0.92689,                 1.7143,               0.004555,               0.004555,               0.004555
                     57,                 1.0277,                0.95803,                 1.3299,                0.60996,                0.66259,                0.68655,                0.44997,                 1.3002,                0.92787,                 1.7164,               0.004456,               0.004456,               0.004456
                     58,                 1.0176,                0.94922,                 1.3224,                0.60496,                0.66208,                0.68466,                0.44813,                 1.3013,                0.92882,                 1.7189,               0.004357,               0.004357,               0.004357
                     59,                 1.0116,                0.94122,                 1.3189,                0.60259,                0.66913,                0.69131,                0.45352,                 1.3012,                 0.9302,                 1.7201,               0.004258,               0.004258,               0.004258
                     60,                 1.0085,                0.93335,                 1.3147,                0.59795,                0.67284,                0.69351,                0.45461,                 1.3015,                0.93046,                 1.7218,               0.004159,               0.004159,               0.004159
                     61,                0.99523,                0.90827,                 1.3078,                0.60113,                0.66431,                0.69417,                0.45485,                 1.3022,                0.93034,                 1.7243,                0.00406,                0.00406,                0.00406
                     62,                0.99269,                0.90523,                 1.3063,                0.60814,                0.66312,                0.69471,                0.45486,                 1.3034,                0.93077,                 1.7267,               0.003961,               0.003961,               0.003961
                     63,                0.98518,                 0.8921,                 1.3024,                0.61087,                0.66558,                0.69379,                0.45405,                 1.3038,                0.92996,                 1.7288,               0.003862,               0.003862,               0.003862
                     64,                0.97693,                0.88625,                 1.2985,                0.60959,                0.66973,                0.69406,                0.45237,                 1.3047,                0.92976,                  1.731,               0.003763,               0.003763,               0.003763
                     65,                0.97168,                 0.8686,                 1.2937,                 0.6105,                0.67535,                0.69709,                 0.4557,                 1.3051,                0.93013,                 1.7323,               0.003664,               0.003664,               0.003664
                     66,                0.96564,                0.86779,                  1.289,                0.59739,                0.68343,                0.69663,                0.45586,                 1.3069,                0.93161,                  1.735,               0.003565,               0.003565,               0.003565
                     67,                0.95882,                0.86207,                 1.2864,                0.60065,                0.68391,                 0.6969,                0.45576,                 1.3074,                0.93236,                 1.7372,               0.003466,               0.003466,               0.003466
                     68,                0.95912,                0.84935,                 1.2868,                0.60429,                0.68406,                0.69936,                0.45701,                 1.3083,                0.93229,                  1.739,               0.003367,               0.003367,               0.003367
                     69,                0.94062,                0.83227,                 1.2747,                0.60734,                0.68307,                0.69899,                0.45628,                 1.3094,                0.93293,                 1.7417,               0.003268,               0.003268,               0.003268
                     70,                0.94187,                0.82617,                 1.2717,                0.61545,                0.67805,                0.69773,                 0.4561,                 1.3099,                0.93276,                 1.7437,               0.003169,               0.003169,               0.003169
                     71,                0.93645,                0.82045,                 1.2694,                0.61489,                0.68033,                0.69831,                 0.4557,                 1.3111,                 0.9327,                  1.746,                0.00307,                0.00307,                0.00307
                     72,                0.92555,                 0.8079,                 1.2622,                0.61378,                0.67509,                0.69857,                0.45365,                 1.3123,                0.93385,                 1.7487,               0.002971,               0.002971,               0.002971
                     73,                0.91424,                0.79192,                 1.2506,                0.61035,                0.67659,                0.69581,                 0.4525,                 1.3131,                0.93373,                  1.751,               0.002872,               0.002872,               0.002872
                     74,                0.90798,                0.78768,                 1.2511,                0.60838,                0.67564,                0.69316,                0.45098,                 1.3138,                0.93396,                 1.7529,               0.002773,               0.002773,               0.002773
                     75,                0.90634,                0.78801,                 1.2528,                0.61389,                0.67423,                0.69311,                0.45093,                  1.315,                0.93427,                 1.7554,               0.002674,               0.002674,               0.002674
                     76,                0.89329,                  0.766,                 1.2413,                0.62057,                0.67233,                0.69531,                0.45127,                 1.3164,                0.93452,                 1.7583,               0.002575,               0.002575,               0.002575
                     77,                0.88459,                0.76186,                 1.2362,                0.61872,                0.66281,                0.69749,                0.45425,                 1.3173,                 0.9353,                 1.7606,               0.002476,               0.002476,               0.002476
                     78,                0.88223,                0.75313,                 1.2323,                0.61529,                 0.6647,                0.69766,                0.45428,                 1.3181,                0.93628,                 1.7629,               0.002377,               0.002377,               0.002377
                     79,                 0.8747,                0.74486,                 1.2282,                0.61667,                0.66341,                0.69741,                0.45372,                 1.3197,                0.93657,                 1.7662,               0.002278,               0.002278,               0.002278
                     80,                0.86442,                0.73222,                 1.2237,                0.56995,                0.68196,                 0.6954,                0.45343,                 1.3205,                0.93802,                 1.7682,               0.002179,               0.002179,               0.002179
                     81,                0.85906,                0.72575,                 1.2184,                0.63264,                0.66379,                0.69895,                0.45419,                 1.3214,                0.93946,                 1.7704,                0.00208,                0.00208,                0.00208
                     82,                0.84819,                0.71921,                 1.2163,                0.59457,                0.67672,                0.69773,                0.45338,                 1.3223,                0.94073,                 1.7729,               0.001981,               0.001981,               0.001981
                     83,                0.84477,                0.71017,                 1.2108,                0.59661,                0.67658,                0.69851,                  0.453,                 1.3233,                0.94142,                  1.775,               0.001882,               0.001882,               0.001882
                     84,                0.83394,                0.70136,                  1.205,                0.59843,                0.67574,                0.69826,                 0.4527,                  1.324,                0.94195,                 1.7774,               0.001783,               0.001783,               0.001783
                     85,                0.82821,                0.69532,                 1.2034,                0.60724,                0.67557,                0.70039,                0.45283,                 1.3249,                0.94324,                 1.7799,               0.001684,               0.001684,               0.001684
                     86,                0.82058,                0.68729,                 1.1971,                0.61101,                0.68058,                0.70021,                 0.4527,                 1.3259,                0.94388,                 1.7821,               0.001585,               0.001585,               0.001585
                     87,                0.81209,                 0.6733,                 1.1921,                0.61093,                0.67972,                0.69904,                0.45266,                  1.327,                0.94495,                 1.7851,               0.001486,               0.001486,               0.001486
                     88,                0.81072,                0.66807,                 1.1916,                0.60833,                0.68029,                0.69913,                0.45207,                  1.328,                 0.9455,                 1.7877,               0.001387,               0.001387,               0.001387
                     89,                0.79724,                0.65749,                 1.1819,                0.60617,                0.68064,                0.69893,                0.45251,                 1.3293,                0.94599,                 1.7907,               0.001288,               0.001288,               0.001288
                     90,                0.79131,                0.65025,                 1.1782,                0.61953,                0.67762,                0.69946,                0.45319,                 1.3302,                 0.9465,                 1.7933,               0.001189,               0.001189,               0.001189
                     91,                 0.7872,                0.64501,                 1.1752,                 0.6267,                0.67892,                0.70244,                0.45479,                 1.3311,                0.94818,                 1.7961,                0.00109,                0.00109,                0.00109
                     92,                0.77756,                0.63862,                 1.1715,                0.63474,                0.67718,                0.70262,                0.45479,                 1.3321,                0.94896,                 1.7993,               0.000991,               0.000991,               0.000991
                     93,                0.76977,                0.63342,                 1.1678,                0.63753,                 0.6788,                0.70302,                 0.4549,                 1.3332,                0.94963,                 1.8027,               0.000892,               0.000892,               0.000892
